,content,id,lat,location,lon,time,user,user_id
0,RT @ValaAfshar: Be helpful and kind. The world needs more people who care more.,972464177527877632,,"Boston, MA",,2018-03-10 13:28:22,preston_mcswain,2381684712
1,@MaryLaMuse Same here smh,972464176743493633,,"Everett, MA",,2018-03-10 13:28:21,Sadiecan2,2554508679
4,"RT @Mean_Adam: “The Republican Party, as an institution, has become a danger to the rule of law and the integrity of our democracy. The pro…",972464174126125056,,somewhere in CA,,2018-03-10 13:28:21,putmygamefaceon,34465083
5,🤣😢😪😂 https://t.co/e1TWQYdtvJ,972464172997935106,,"Boston, MA",,2018-03-10 13:28:21,CaloIsLegendary,1225624212
6,"RT @kaylama54674519: #russellandginger - 💞DOMENIC IS RECUED💞thank you #paomyway 🙏🙏
#Repost #paomyway
• • •
#DOMINIC #A1924035

Jani just to…",972464172867956737,,,,2018-03-10 13:28:20,Lawlor224,3396116080
7,@kathic1016 Oh,972464171722924035,,"Boston, MA",,2018-03-10 13:28:20,davidwade,41369773
8,Isco off? Madrid game on,972464168921165825,,"Boston, MA",,2018-03-10 13:28:20,m0m3030,127003577
10,#MyLifeAsAMovieTitle https://t.co/mDKaIyMDgC,972464157625856000,,"Boston, MA",,2018-03-10 13:28:17,RoxburyKid617,151534110
11,RT @Afutami: @singa_com @AdeTantidewiana Saya setuju sekali Pak. Makanya perjuangan teman-teman @idDKP yang fokus ke regulasi sangat baik d…,972464154031267840,,Indonesia,,2018-03-10 13:28:16,singa_com,2798848803
12,"Love this team mug shot from the Inland Northwest Community Foundation in Spokane, WA! https://t.co/XZ9TSYal3c",972464150365523969,,"Boston, MA",,2018-03-10 13:28:15,StrengthsMugs,702152569917865984
13,@jriddlejr @Plano_Dad @BernieSanders Democrats are no longer sitting back &amp; thinking they have no say in Texas. Tha… https://t.co/CO4G2UtTpq,972464148717146115,,"Boston, MA",,2018-03-10 13:28:15,Oooooo_Donna,58896487
14,@DavidHerburger1 I tried it for the first time last weekend.. it’s stout,972464147551178754,,"Boston, MA",,2018-03-10 13:28:14,ethebuilder,165607471
15,"RT @ecccoautist: playing video games is a massive waste of time, it's about as valid of a ""hobby"" as watching porn

ok, won't be reading an…",972464147060334592,,,,2018-03-10 13:28:14,NintendoGlitch,951797460225019904
16,"RT @thepakimon: When I was about 12, I got groped in a marketplace in Lahore. Years later at a sleepover I shared the story with my girl fr…",972464146481598466,,,,2018-03-10 13:28:14,kickassmol,922287662198939649
17,RT @apwriter: @Franklin_Graham Not even atheists fuck porn stars with a new mother and child at home. You are a fraud. https://t.co/1L7XTPD…,972464140999643136,,🌞Florida🌞🐬🐊🍊🎢🚀⛵️,,2018-03-10 13:28:13,Carolyn_Hoechst,898636844736196609
18,I got 12 hours of sleep last night. 🙃,972464140840251392,,"Boston, MA",,2018-03-10 13:28:13,DonVavou,87799278
20,RT @sapinker: Possible breakthrough in energy: MIT and new company launch novel approach to fusion power #LightTheSPARC  https://t.co/2sYO2…,972464137543536643,,"Charlottesville, VA",,2018-03-10 13:28:12,FuSchmu,37149113
21,RT @BostonGlobe: Crews are prepared to work through the weekend in an attempt to salvage the Harvard University boathouse that started sink…,972464137124147200,,New York,,2018-03-10 13:28:12,kalyTsoto,15238841
22,เข้ามาเยอะๆๆ นะ ชาวเอสสสสส🇪🇸 https://t.co/VB4K8uqTkf https://t.co/IZMlMq2uMe,972464134523576320,,"Boston, MA",,2018-03-10 13:28:11,parimawwa146,3820180824
23,"Women in gaming fight the same bullshit brigade as women in tech. You go, Soe! https://t.co/zsHVcQ3db8",972464131432476673,,"Boston, MA",,2018-03-10 13:28:11,aabelak,113093273
24,@New_TV 👍🏻👍🏻👍🏻,972464130216128512,,"Boston, MA",,2018-03-10 13:28:10,GiraldoJC,146566481
25,RT @UmbilicalKordei: 5H when interviewers ask them about future singles and albums https://t.co/KFHKwU0N80,972464129670832128,,norminah and latavia follow,,2018-03-10 13:28:10,kordeisauce,821856388615913472
26,RT @MaxAbrahms: This is partly because we’re addicted to regime change and support opposition groups without checking if they’re working al…,972464128362188800,,monde,,2018-03-10 13:28:10,Mass_Critic,848962801309765638
27,RT @F6_Damage: @Noahmorgan28 @Shaawnns @Bansheeez @ltzFresh @leeprado6 @ThereWeStood @JoynerLucas Pretty much all his remixes have went vir…,972464128228020226,,Chillin,,2018-03-10 13:28:10,JesusLuna2312,2409782215
28,"RT @_3231994: I bought a Hulu subscription just to binge watch Jersey Shore, someone please take my debit card away from me",972464127561031680,,earth,,2018-03-10 13:28:10,Grampynotgrumpy,788800097173798912
29,RT @_SirAlex: Then they freaked it https://t.co/gIBxhma41R,972464124553846784,,"Massachusetts, USA",,2018-03-10 13:28:09,itzCoufa,285965082
30,RT @YukariWatanabe: 男女の力関係が逆転したら世界はどうなるのか？｜渡辺由佳里｜ニューズウィーク日本版 https://t.co/FdLG7i4HCx,972464124545216512,,日本 東京都,,2018-03-10 13:28:09,maku__maku,169861399
31,"RT @WarrenIsDead: *flips 25 years ahead in my google calendar and creates the notification 'if not a famous academic by now, become extreme…",972464122838310913,,"Toronto, ON",,2018-03-10 13:28:09,causalitybrunch,279219321
32,eating tuna between two eggos for breakfast and you're damn right i'm still delirious,972464122213302273,,"Boston, MA",,2018-03-10 13:28:08,Tenacious_Ken,60021660
33,@SamDrew224 Where has Sam “gotten over” it? Show me because I call bullshit. She has tolerated Franco but she will ever get over it 🙄,972464121789714437,,"Boston, MA",,2018-03-10 13:28:08,Savvy_91,56442424
34,No worries - @joekennedy doesn't need the money. https://t.co/GNqU6epaCb,972464119545724928,,"Medford, MA",,2018-03-10 13:28:08,nofunfinn,16787867
35,Maizey ponders the tie nibbling habits of her cat Jack... #why #interesting #catsofinstagram #dogsofinstagram... https://t.co/EZfs9yuogY,972464113728327681,,"Boston, MA",,2018-03-10 13:28:06,petcabaret,18702436
36,Bitch you can read and I know yo back feel the stress don’t B actin https://t.co/ju8dMTd2T4,972464113422086144,,"Boston, MA",,2018-03-10 13:28:06,AMSHINE5,325601180
37,"RT @nikomatsakis: Not complete yet, but pretty proud of this work to describe proposed new #rustlang trait system implementation: https://t…",972464107788976128,,Japan Tokyo,,2018-03-10 13:28:05,T5uku5hi,830053504127373312
38,"RT @Molly3186: ""Five Days After Trump Lawyer Paid Adult Film Star $130,000, Trump Org Billed Trump Campaign $129,999.72""

Hmm, coincidence?…",972464103863279616,,United States,,2018-03-10 13:28:04,BlueWave_Lady,14603546
40,"RT @HarvardBiz: When expectations aren’t met, everyone feels frustrated https://t.co/1M4CzDJevB",972464098662404097,,"London, United Kindom",,2018-03-10 13:28:03,dianemlillis,4846167609
41,RT @TWICHISTE: 2 por el precio de 1 https://t.co/3RqJEJDzI3,972464096007282690,,,,2018-03-10 13:28:02,greekstone,348073145
42,Dikhomo [Cattle] Mahotella Queens Mahotella Queens - Dikhomo [Cattle],972464095482933249,,"Boston, MA",,2018-03-10 13:28:02,Groovasmique,810636042483224576
43,"RT @TomLeyden: 1,100 shares and counting, 3,000 comments of shock. A terrible move she's had to sit on for months, but she's continued to w…",972464090768699392,,"Detroit, MI",,2018-03-10 13:28:01,jamal_wash,96746274
44,"RT @_KevinSosa_: Today’s kids only know Latin trap Arcangel, they know nothing about Pa Que La Pases Bien Arcangel, Por Amar a Ciegas Arcan…",972464090139578368,,"Houston, TX",,2018-03-10 13:28:01,cesarvmaya,627422956
45,Going to the doctor for a blood draw is annoying because I spend more time driving there than I spend actually at the lab.  🙄,972464088667361281,,"Boston, MA",,2018-03-10 13:28:00,Megs_C,38329355
46,@brettharris I should hope so!,972464088143024129,,"Boston, MA",,2018-03-10 13:28:00,jtkantor,20623336
47,"RT @SingLE_CELL1: المرأة : هههههههههههههههههههههههههههههههههههههههههههههههههه
الرجل : ههههههههههههههههههههههههههههههههههههههههههههههههههههه…",972464086465368064,, pisces.,,2018-03-10 13:28:00,rwiz_ei,520855540
48,@marenaaaax didn’t know you liked chocolate,972464085529972737,,"Boston, MA",,2018-03-10 13:28:00,gimmesnax,3028720258
