,content,id,lat,location,lon,time,user,user_id
0,@richparr79 hope he has flood insurance,972462658376142849,,Allston,,2018-03-10 13:22:19,harrymattison,16479385
1,"She doesn't seem to have twitter, so can't tag her on this, but let's flood her inbox: that these young people are… https://t.co/7rC8MjR4Lp",972436326770495489,,"Boston, MA",,2018-03-10 11:37:41,hlayfield,23621432
2,RT @JeffChubb: The Importance of Flood Insurance https://t.co/AK6dwbBmdh,972435504716288001,,"Madisonville, LA",,2018-03-10 11:34:25,shevallee,66250998
5,"RT @MassMovementorg: Flood this 
#StudentLoanJustice https://t.co/NZWPOxU3jd",972311643534364673,,World Peace,,2018-03-10 03:22:15,BernPress,3634403123
6,"Flood this 
#StudentLoanJustice https://t.co/NZWPOxU3jd",972308189705367552,,"Boston, MA",,2018-03-10 03:08:31,MassMovementorg,775703542086701056
10,Our Flood Viewer tool can help you understand the risk of flooding to your property and how to protect against it.… https://t.co/ATpZzaZrxE,972303535370063873,,"Cambridge, MA",,2018-03-10 02:50:02,CambMA,1251981278
11,"@D_Libris 16 years since I worked at the bookstore and I *still* have ""can't close the store because a flood of customers came in"" dreams.",972282751264182272,,"Boston, MA",,2018-03-10 01:27:26,falconesse,15588618
13,Tens of thousands protest in Slovakia at journalist’s death https://t.co/AO999pTuH0 via @conmonitornews,972252992710873088,,"Boston, MA",,2018-03-09 23:29:11,griffbos,106331667
14,The Importance of Flood Insurance https://t.co/AK6dwbBmdh,972227020271779842,,"Boston, MA",,2018-03-09 21:45:59,JeffChubb,27793308
15,"""This year, New Orleans celebrates its 300th birthday. Whether it will see 400 is no sure thing."" https://t.co/MKrGA8IbuW",972196599270199296,,"Cambridge, MA",,2018-03-09 19:45:06,MITdusp,200293513
16,"While Mexico plays politics with its water, some cities flood and others go dry https://t.co/tcTertEQWc",972195488161288194,,"Boston, MA",,2018-03-09 19:40:41,ConversationUS,2733320850
17,Don't let the flood of emails bog you down; uncover easy ways to increase #productivity while at work. via @marketo… https://t.co/HLr6FUzfMe,972168095807795200,,"Boston, MA",,2018-03-09 17:51:50,JulieChapmanJC,37113053
18,Flood Warning issued March 09 at 11:59AM EST until further notice by NWS https://t.co/zuAQh6QTCt,972157294564720640,,"Boston, MA",,2018-03-09 17:08:55,MAEmergencyPrep,2291660443
19,"@growingwisdom Given that Massachusetts is essentially a forest and is prone to high wind weather events, the elect… https://t.co/Qj7afhusex",972147111730073601,,"Boston, MA",,2018-03-09 16:28:27,Didactylos0,26089443
20,I’m gon flood the timeline since it’s been soooooooooo long and I don’t care if you follow me on snap and IG and seen it already 😂,972143250592190464,,"Boston, MA",,2018-03-09 16:13:07,iLLNaty,960509809647915014
22,Amazing and wrenching piece...flood tide of grief and suicide https://t.co/Gj429DQYnB,972126692784463881,,"Cambridge, MA",,2018-03-09 15:07:19,josh_edu,12367122
24,"Think Big, Act Fast...Pick up your copy of the @BostonGlobe this morning. Featuring @chrisreedstoss’s thoughts on h… https://t.co/tMGaRS0L62",972092352432099328,,"Boston, MA",,2018-03-09 12:50:52,stosslu,463471278
26,@IgnatiusUnderh2 I don’t agree that we should flood the land with Muslim refugees who clearly do not want to assimi… https://t.co/ANCxiCiMDV,972048361267318785,,"Boston, MA",,2018-03-09 09:56:03,jmomahony,1071279096
28,"We more projects like the @ArmyCorpsNAD’s Charles River Natural Valley Storage Area.  Cheap, sustainable resiliency… https://t.co/bnqWPW1KiC",971931440173764608,,"Boston, MA",,2018-03-09 02:11:27,hamhack,49995266
29,RT @MAEmergencyPrep: Flood Warning issued March 08 at 9:01PM EST until further notice by NWS https://t.co/fKLf8gn9bG,971929830924025857,,RT's Are FYI Purposes Only,,2018-03-09 02:05:03,robinsnewswire,40173650
